ID de alumno	,		Examen final
201313006	,		1.88
201125674	,		2.5
201313816	,		0.63
201620216	,		3.75
201422249	,		1.88
201620969	,		NA
201523617	,		1.88
201615332	,		1.25
201216203	,		0.63
201015735	,		3.125
201513563	,		3.125
201218391	,		4.375
201418451	,		1.25
