"nome","naz","team","tempo.1","tempo.2","tempo.3","tempo.4","tempo.5","tempo.6","tempo.7","tempo.8","tempo.9","tempo.10","tempo.11","tempo.12","tempo.13","tempo.14","tempo.15","tempo.16","tempo.17","tempo.18","tempo.19","tempo.20","tempo.21"
"TUFT Svein","CAN","OGE",1482,20277,36411,44937,64688,90025,109807,129133,146433,161324,183305,187211,200262,218667,240400,259728,277355,296664,301397,319986,336016
"TULIK Angelo","FRA","EUC",1767,20562,36696,45222,64343,89072,108037,126925,144132,158605,180376,184326,197361,215479,237172,256500,274127,292991,297593,315997,331993
"ULISSI Diego","ITA","LAM",1562,20357,36491,45017,63766,87636,106601,123858,139877,154350,175508,179039,192090,208812,229978,249580,267207,NA,NA,NA,NA
"URAN URAN Rigoberto","COL","OPQ",1487,20282,36416,44942,63702,87572,106537,123812,139831,154304,175201,178655,191706,208371,228399,245605,263232,280789,284812,302012,317850
"VAN BAARLE Dylan","NED","GRS",1688,20483,36617,45143,64619,88526,107491,126070,142949,157580,179561,183270,196399,214236,NA,NA,NA,NA,NA,NA,NA
"VAN DER SANDE Tosh","BEL","LTB",1576,20368,36502,45028,64420,89149,108114,127002,143296,157769,179540,183484,196535,214334,235477,254805,272432,291296,295804,313552,329390
"VAN EMDEN Jos","NED","BEL",1543,20385,36519,45045,64437,88721,107686,127012,144219,158894,180665,184413,197464,215582,237275,256603,273322,292186,296839,314871,330709
"VAN POPPEL Boy","NED","TFR",1617,20412,36546,45072,64548,89277,108242,127568,144868,159341,181112,184965,198077,216195,237979,257307,274934,293798,298648,316708,332555
"VANENDERT Dennis","BEL","LTB",1740,20535,36669,45195,64326,88665,107630,126209,142647,157257,178401,182351,195791,NA,NA,NA,NA,NA,NA,NA,NA
"VEELERS Tom","NED","GIA",1635,20430,36553,45079,64555,88982,107947,127273,144573,159248,181229,185195,198292,216697,238404,258006,275633,294942,299809,318429,334267
"VEIKKANEN Jussi","FIN","FDJ",1560,20355,36489,45015,64407,88749,107919,126498,143051,157726,179497,183508,196681,214615,236399,255727,272446,291755,296233,314824,330740
"VENTOSO Francisco","ESP","MOV",1584,20379,36513,45039,64515,88794,107759,127085,144292,158967,180948,184802,197853,215504,237197,256525,274152,293461,298290,316501,332348
"VERMOTE Julien","BEL","OPQ",1487,20282,36416,44942,64334,88618,107583,126368,142874,157347,179328,183381,196459,213185,234969,254571,272198,290665,295260,313093,328940
"VICIOSO ARCOS Angel","ESP","KAT",1575,20370,36504,45030,63932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VILLELLA Davide","ITA","CAN",1584,20379,36513,45039,64003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VIVIANI Elia","ITA","CAN",1535,20327,36446,44972,64617,89346,108311,127637,144937,159409,181390,185418,198469,216874,238658,258260,275887,295196,299813,318346,334184
"VORGANOV Eduard","RUS","KAT",1797,20592,36726,45252,64496,89159,108124,125961,142081,156554,178323,182256,195307,212349,232874,252202,269431,287780,292365,309981,325828
"VUILLERMOZ Alexis","FRA","ALM",1540,20335,36469,44995,63792,87702,106667,124020,140039,154512,175409,179111,192162,208859,229044,246364,263991,281646,285978,303319,319157
"WEENING Pieter","NED","OGE",1482,20277,36411,44937,63697,87789,106754,125333,141294,155955,177936,181890,195042,NA,NA,NA,NA,NA,NA,NA,NA
"WEGMANN Fabian","GER","GRS",1688,20483,36617,45143,64790,88876,107841,126729,143608,158157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WELLENS Tim","BEL","LTB",1576,20371,36505,45031,63791,87606,106571,125560,142833,157306,179287,183197,196248,212768,234415,254017,270699,288275,292452,309658,325626
"WYSS Danilo","SUI","BMC",1489,20284,36418,44944,64002,88489,107454,126342,143221,157831,179602,183417,196468,213740,235053,254059,271686,290550,294965,312579,328426
"ZARDINI Edoardo","ITA","BAR",1549,20344,36478,45004,63976,88529,107820,126713,144013,158688,179634,183526,196674,213946,234290,253140,270767,288242,292465,309606,325522
"ZEITS Andrey","KAZ","AST",1520,20315,37257,45783,65259,89533,108703,126549,143756,158366,180347,184302,197353,215152,236295,255623,273250,292114,296712,314635,330482
"ZOIDL Riccardo","AUT","TFR",1542,20337,36471,44997,63840,87798,106763,124538,141664,156622,177609,181326,194684,211398,232080,251408,269035,286690,290909,308018,323965
