"nome","naz","team","tempo.1","tempo.2","tempo.3","tempo.4","tempo.5","tempo.6","tempo.7","tempo.8","tempo.9","tempo.10","tempo.11","tempo.12","tempo.13","tempo.14","tempo.15","tempo.16","tempo.17","tempo.18","tempo.19","tempo.20","tempo.21"
"HESJEDAL Ryder","CAN","GRS",1688,20483,36617,45143,63903,87773,106738,124025,140044,154517,175414,179070,192121,208744,228803,245760,263387,280960,285236,302640,318487
"HONDO Danilo","GER","TFR",1542,20337,36471,44997,64389,88876,107841,127167,144467,158940,180711,184386,197437,214751,236088,255690,273317,292626,297328,315388,331335
"HOOGERLAND Johnny","NED","AND",1556,20351,36485,45011,64142,88426,107391,125970,143270,157945,179926,183815,196970,214769,236211,255539,273166,292475,296943,314785,330701
"HUREL Tony","FRA","EUC",1590,20382,36505,45031,64678,89407,108372,127698,144998,159471,181452,185224,198275,216393,238086,257688,275315,294179,298795,317201,333157
"IZAGUIRRE Gorka","ESP","MOV",1537,20332,36466,44992,63831,88762,107936,126026,143233,157984,179333,183206,196358,213065,234746,253596,271223,290532,295084,312552,328418
"JUUL JENSEN Christopher","DEN","TCS",1505,20300,36434,44960,64607,89094,108268,127594,144801,159627,181398,185329,198523,216168,237311,256161,273788,292137,296775,314404,330400
"KEISSE Iljo","BEL","OPQ",1523,20318,36474,45044,64691,89178,108143,127469,144769,159520,181501,185272,198323,216728,238584,257912,275539,294848,299493,318026,333864
"KEIZER Martijn","NED","BEL",1714,20509,36643,45169,64561,89290,108255,126534,142972,157521,179292,183090,196141,212699,233842,253170,270797,288571,293211,310856,326703
"KELDERMAN Wilco","NED","BEL",1543,20335,36469,44995,63755,87625,106590,123859,139878,154351,175248,178825,191876,208524,228583,245750,263377,280965,285194,302494,318332
"KISERLOVSKI Robert","CRO","TFR",1542,20337,36460,44986,63768,87638,106603,123864,139883,154356,175253,178936,191987,208684,228743,245986,263613,281201,285464,302774,318621
"KITTEL Marcel","GER","GIA",1538,20320,36433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOCH Michel","GER","CAN",1535,20330,36464,44990,64307,89036,108818,128144,145444,160195,182176,185964,199137,217542,239398,258726,276353,295662,300179,318712,334628
"KRUIJSWIJK Steven","NED","BEL",1543,20338,36472,44998,63758,88487,107597,126923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LANCASTER Brett","AUS","OGE",1504,20299,36422,44948,64424,89759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LANDA MEANA Mikel","ESP","AST",1520,20315,36449,44975,64106,88835,107800,125095,141114,155789,176686,180540,193971,210668,231389,249192,266819,284774,289145,306811,322658
"LE BON Johan","FRA","FDJ",1560,20355,36489,45015,64146,88144,107109,125688,142126,156801,178782,182513,195607,213541,234997,254325,271044,290353,294843,313245,329092
"LONGO BORGHINI Paolo","ITA","CAN",1558,20353,36487,45013,64134,88621,107586,126625,143285,158036,179807,183568,196619,214261,235954,254804,272431,290898,295369,313902,329858
"LOSADA ALGUACIL Alberto","ESP","KAT",1703,20498,36632,45158,64094,88823,107993,125839,141891,156566,177463,181363,194515,211694,231999,250849,267568,285133,289677,307565,323412
"LUDVIGSSON Tobias","SWE","GIA",1538,20333,36467,44993,63775,87661,106626,124327,140623,155096,176867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MAJKA Rafal","POL","TCS",1505,20300,36423,44949,63709,87579,106544,123825,139844,154317,175214,178767,191818,208466,228509,245712,263339,280899,285044,302258,318096
"MALACARNE Davide","ITA","EUC",1590,20385,36519,45045,63836,87718,106683,124322,140266,154739,175867,179613,192664,209843,230986,250588,267307,285656,290181,307835,323682
"MALORI Adriano","ITA","MOV",1537,20332,36466,45023,64415,89144,108109,126997,143876,158349,180330,184213,197361,215006,236699,256027,273654,292963,297522,315733,331694
"MARANGONI Alan","ITA","CAN",1535,20385,36519,45045,64521,89008,107973,127299,144506,159191,181172,185010,198100,216505,238289,257891,275518,294827,299373,317812,333728
"MATTHEWS Michael","AUS","OGE",1482,20274,36397,44923,63683,87494,106459,125785,143126,157595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MCCARTHY Jay","AUS","TCS",1505,20300,36434,44960,64436,89165,108130,127456,144181,158654,180425,184245,197296,214941,236084,255686,272373,290992,295512,313428,329275
"MEDEREL Maxime","FRA","EUC",1590,20385,36519,45045,63891,87928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEYER Cameron","AUS","OGE",1482,20277,37219,45745,65496,90497,110279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MEZGEC Luka","SLO","GIA",1538,20333,36506,45032,64679,89680,108641,127967,145267,159740,181721,185858,198909,217075,238943,258271,275898,295207,299950,317893,333721
"MONFORT Maxime","BEL","LTB",1576,20371,36494,45020,63780,87662,106627,123976,139995,154468,175365,179076,192127,208945,229216,246859,264486,282204,286494,303541,319388
"MONSALVE Jonathan","VEN","NRI",1543,20338,36472,44998,64129,88216,107181,126220,142239,156712,178483,182485,195536,212123,233266,252594,270221,289085,293656,310753,326600
"MONTAGUTI Matteo","ITA","ALM",1540,20335,36469,44995,63959,87996,106961,124662,141100,155573,177344,181158,194209,211387,231797,250647,267336,286200,290600,308442,324280
"MORABITO Steve","SUI","BMC",1489,20284,36418,44944,63735,87579,106544,123846,139865,154338,175235,178915,191966,208784,228927,247933,265560,283384,288044,305604,321451
"MORENO FERNANDEZ Daniel","ESP","KAT",1575,20370,36647,45173,63970,87840,107010,124310,140362,155037,176807,180834,194192,211177,231231,250559,268186,286192,290462,308128,323975
"MORI Manuele","ITA","LAM",1562,20357,36709,45235,64708,88992,107957,126996,144203,158676,180447,184293,197730,215582,236789,256391,274018,292930,297547,315791,331657
"MOSER Moreno","ITA","CAN",1535,20330,36464,44990,63836,88565,107791,126679,143979,158730,179627,183551,196988,215106,236890,256492,274119,293038,297630,315819,331685
"MOUREY Francis","FRA","FDJ",1560,20355,36489,45015,63775,87806,106771,124062,140246,154719,176490,180305,193453,210632,231526,249375,267002,284803,289026,306579,322445
"NIEMIEC Przemyslaw","POL","LAM",1562,20357,36491,45017,63777,87715,106680,124397,140653,155126,176897,180723,193774,211046,232189,250381,268008,286475,291121,308867,324733
"NIZZOLO Giacomo","ITA","TFR",1542,20330,36453,44979,64507,89236,108195,127521,144821,159288,181269,185333,198384,216559,238415,258017,275644,294953,299679,318161,333993
"OSS Daniel","ITA","BMC",1489,20284,36407,44933,63991,88058,107023,126349,143602,158428,180409,184171,197265,215383,237167,256495,273214,292078,296541,314601,330496
"PANTANO GOMEZ Jarlinson","COL","COL",1565,20360,36494,45020,63854,87724,106689,124148,140254,154727,176708,180607,193658,210142,231285,248539,266166,284372,288965,306301,322248
"PAOLINI Luca","ITA","KAT",1575,20370,36504,45030,64274,88937,107902,127228,144354,158827,179955,183902,197050,215168,236311,255639,273266,292575,297283,315320,331158
"PAUWELS Serge","BEL","OPQ",1487,20282,36416,44942,63781,87739,106704,124411,140595,155068,176212,179888,192939,210220,231363,249913,266632,284314,288856,306338,322185
"PELLIZOTTI Franco","ITA","AND",1556,20351,36485,45011,63771,87802,106767,124058,140120,154593,175490,179233,192284,209007,229061,247214,264841,282312,286451,303398,319245
"PETACCHI Alessandro","ITA","OPQ",1487,20282,36405,44931,64323,88459,107424,126463,143589,158062,180043,183897,196948,215353,237046,NA,NA,NA,NA,NA,NA
"PETROV Evgeny","RUS","TCS",1723,20518,36652,45178,64654,88544,107509,125337,141997,156470,177819,181570,194621,211893,232434,251762,268481,286830,291178,308754,324601
"PICHON Laurent","FRA","FDJ",1560,20355,36489,45015,64146,88875,108045,127371,144671,159264,181035,184829,198150,216268,238047,257649,275276,294038,298553,316544,332534
"PIRAZZI Stefano","ITA","BAR",1549,20344,36478,45004,63838,88934,108225,125883,143183,158039,180020,183674,197105,214654,235221,254009,270690,289999,294210,312766,328762
"POELS Wouter","NED","OPQ",1504,20299,36433,44959,63814,87684,106649,123938,139957,154430,175327,178901,191952,208612,228791,248393,266020,283639,287951,305165,321031
"POLANC Jan","SLO","LAM",1562,20357,36491,45048,63909,88396,107361,125078,141169,155642,176797,180609,193660,210158,231301,250280,267907,285705,290107,308156,324003
"POLJANSKI Pawel","POL","TCS",1505,20300,36434,44960,63775,87867,106832,124539,140835,155308,176657,180458,193509,210781,231924,251526,269153,287502,291867,309275,325141
"PONZI Simone","ITA","NRI",1700,20495,36629,45155,64286,88560,107525,126564,143864,158484,180465,184367,197496,215295,236438,255766,273393,292257,296932,314824,330705
