"Numero","Signo","Sorteo","Fecha"
6567,"Leo",3125,"2012-07-29"
2180,"Sagitario",3124,"2012-07-28"
1312,"Leo",3123,"2012-07-27"
5338,"Aries",3122,"2012-07-26"
8396,"Leo",3121,"2012-07-25"
5775,"Geminis",3120,"2012-07-24"
3428,"Libra",3119,"2012-07-23"
9658,"Leo",3118,"2012-07-22"
9963,"Geminis",3117,"2012-07-21"
4422,"Aries",3116,"2012-07-20"
7091,"Escorpion",3115,"2012-07-19"
902,"Acuario",3114,"2012-07-18"
7428,"Geminis",3113,"2012-07-17"
6831,"Sagitario",3112,"2012-07-16"
1971,"Geminis",3111,"2012-07-15"
1843,"Aries",3110,"2012-07-14"
2791,"Aries",3109,"2012-07-13"
550,"Escorpio",3108,"2012-07-12"
6726,"Piscis",3107,"2012-07-11"
7926,"Acurio",3106,"2012-07-10"
4908,"Libra",3105,"2012-07-09"
7988,"Piscis",3104,"2012-07-08"
5642,"Virgo",3103,"2012-07-07"
7687,"Acuario",3102,"2012-07-06"
8044,"Virgo",3101,"2012-07-05"
9558,"Libra",3100,"2012-07-04"
9872,"Escorpion",3099,"2012-07-03"
8123,"Capricornio",3098,"2012-07-02"
8783,"Tauro",3097,"2012-07-01"
7103,"Tauro",3096,"2012-06-30"
6154,"Tauro",3095,"2012-06-29"
4627,"Leo",3094,"2012-06-28"
9005,"Aries",3093,"2012-06-27"
2321,"Libra",3092,"2012-06-26"
4633,"Piscis",3091,"2012-06-25"
3508,"Aries",3090,"2012-06-24"
7976,"Leo",3089,"2012-06-23"
5761,"Capricornio",3088,"2012-06-22"
8194,"Tauro",3087,"2012-06-21"
6786,"Libra",3086,"2012-06-20"
1578,"Aries",3085,"2012-06-19"
1073,"Capricornio",3084,"2012-06-18"
2583,"Sagitario",3083,"2012-06-17"
1287,"Leo",3082,"2012-06-16"
5840,"Tauro",3081,"2012-06-15"
5752,"Acuario",3080,"2012-06-14"
4791,"Geminis",3079,"2012-06-13"
4040,"Acuario",3078,"2012-06-12"
5689,"Acuario",3077,"2012-06-11"
9273,"Piscis",3076,"2012-06-10"
6849,"Libra",3075,"2012-06-09"
2527,"Capricornio",3074,"2012-06-08"
9537,"Leo",3073,"2012-06-07"
4473,"Geminis",3072,"2012-06-06"
8238,"Escorpion",3071,"2012-06-05"
2518,"Piscis",3070,"2012-06-04"
6774,"Cancer",3069,"2012-06-03"
8352,"Tauro",3068,"2012-06-02"
3815,"Cancer",3067,"2012-06-01"
4745,"Tauro",3066,"2012-05-31"
9673,"Leo",3065,"2012-05-30"
3244,"Cancer",3064,"2012-05-29"
4623,"Aries",3063,"2012-05-28"
4663,"Escorpio",3062,"2012-05-27"
7284,"Escorpio",3061,"2012-05-26"
7463,"Sagitario",3060,"2012-05-25"
3023,"Piscis",3059,"2012-05-24"
9913,"Aries",3058,"2012-05-23"
4297,"Piscis",3057,"2012-05-22"
5078,"Tauro",3056,"2012-05-21"
6519,"Leo",3055,"2012-05-20"
1110,"Aries",3054,"2012-05-19"
156,"Acuario",3053,"2012-05-18"
8584,"Escorpio",3052,"2012-05-17"
8774,"Piscis",3051,"2012-05-16"
5596,"Cancer",3050,"2012-05-15"
7022,"Virgo",3049,"2012-05-14"
8271,"Leo",3048,"2012-05-13"
3311,"Capricornio",3047,"2012-05-12"
811,"Tauro",3046,"2012-05-11"
4363,"Cancer",3045,"2012-05-10"
8096,"Geminis",3044,"2012-05-09"
131,"Libra",3043,"2012-05-08"
6636,"Escorpio",3042,"2012-05-07"
5184,"Aries",3041,"2012-05-06"
5184,"Aries",3041,"2012-05-06"
5528,"Leo",3040,"2012-05-05"
5908,"Libra",3039,"2012-05-04"
4284,"Leo",3038,"2012-05-03"
5771,"Leo",3037,"2012-05-02"
3071,"Cancer",3036,"2012-05-01"
3427,"Geminis",3035,"2012-04-30"
1940,"Leo",3034,"2012-04-29"
1769,"Cancer",3033,"2012-04-28"
4323,"Sagitario",3032,"2012-04-27"
4495,"Leo",3031,"2012-04-26"
8246,"Aries",3030,"2012-04-25"
5235,"Piscis",3029,"2012-04-24"
1742,"Acuario",3028,"2012-04-23"
1684,"Leo",3027,"2012-04-22"
3608,"Escorpio",3026,"2012-04-21"
1866,"Acuario",3025,"2012-04-20"
3877,"Libra",3024,"2012-04-19"
1238,"Escorpio",3023,"2012-04-18"
7138,"Geminis",3022,"2012-04-17"
7756,"Geminis",3021,"2012-04-16"
7267,"Cancer",3020,"2012-04-15"
181,"Tauro",3019,"2012-04-14"
5222,"Leo",3018,"2012-04-13"
6279,"Leo",3017,"2012-04-12"
6430,"Leo",3016,"2012-04-11"
1451,"Tauro",3015,"2012-04-10"
2602,"Capricornio",3014,"2012-04-09"
6940,"Escorpion",3013,"2012-04-08"
2009,"Acurio",3012,"2012-04-07"
2011,"Sagitario",3011,"2012-04-05"
7282,"Libra",3010,"2012-04-04"
5016,"Cancer",3009,"2012-04-03"
4017,"Cancer",3008,"2012-04-02"
5304,"Tauro",3007,"2012-04-01"
1922,"Cancer",3006,"2012-03-31"
8865,"Aries",3005,"2012-03-30"
6332,"Leo",3004,"2012-03-29"
5983,"Acuario",3003,"2012-03-28"
6532,"Geminis",3002,"2012-03-27"
7426,"Aries",3001,"2012-03-26"
8382,"Virgo",3000,"2012-03-25"
9940,"Libra",2999,"2012-03-24"
2915,"Leo",2998,"2012-03-23"
6384,"Acuario",2997,"2012-03-22"
