ID de alumno,Taller 8 Semana 10 
201731392,En proceso
201712351,5
201717692,"3,8"
201614153,5
201713007,"4,8"
201614937,"4,8"
201513205,5
201713827,5
201714113,5
201714129,5
201632011,5
201730643,"4,8"
