ID,TOTAL
201612773,5
201712029,5
201618447,
201716097,
201619094,5
201630931,"2,4"
201619335,"3,8"
201713298,"4,5"
201619350,"2,9"
201619638,"3,8"
201714174,5
201730302,"3,8"
201718390,"4,5"
201327609,"2,4"
201730655,5
