ID,TOTAL
201618885,"2,5"
201612773,5
201712029,"3,5"
201618447,2
201716097,
201619094,"4,2"
201630931,5
201619335,"3,5"
201713298,"3,5"
201619350,"3,5"
201619638,
201714174,5
201730302,3
201718390,"3,5"
201327609,
201730655,"3,5"
