ID,TOTAL
201618885,5
201612773,5
201712029,3
201618447,"0,3"
201716097,
201619094,3
201630931,"1,3"
201619335,5
201713298,5
201619350,5
201619638,"0,6"
201714174,5
201730302,5
201718390,5
201327609,
201730655,"2,3"
