#"Código.Municipio" "Población" "Población.Pobre" "Incidencia" "Código.Departamento" "Departamento" "Municipio" "Número.de.Hogares" "Bajo.Logro.Educativo" "Bajo.Logro.Educativo.Absoluto" "Analfabetismo" "Analfabetismo.Absoluto" "Inasistencia.Escolar" "Inasistencia.Escolar.Absoluto" "Rezago.Escolar" "Rezago.Escolar.Absoluto" "Barreras.Cuidado.Primera.Infancia" "Barreras.Cuidado.Primera.Infancia.Absoluto" "Trabajo.Infantil" "Trabajo.Infantil.Absoluto" "Alta.Dependencia.Económica" "Alta.Dependencia.Económica.Absoluto" "Empleo.Informal" "Empleo.Informal.Absoluto" "Sin.Seguro.Salud" "Sin.Seguro.Salud.Absoluto" "Barreras.Acceso.Salud" "Barreras.Acceso.Salud.Absoluto" "Sin.Fuente.Agua.Mejorada" "Sin.Fuente.Agua.Mejorada.Absoluto" "Inadecuada.Eliminación.Excretas" "Inadecuada.Eliminación.Excretas.Absoluto" "Pisos.Inadecuados" "Pisos.Inadecuados.Absoluto" "Paredes.Inadecuadas" "Paredes.Inadecuadas.Absoluto" "Hacinamiento" "Hacinamiento.Absoluto" "Coordenadas" "Latitud" "Longitud" "NivelesIncidencia"
"11" 5042 22367 13520.4198169 0.6044807 5 "Antioquia" "Santafé de Antioquia" 5546 0.7987297 4429.7549162 0.3122312 1731.6342352 0.1240871 688.1870566 0.3101856 1720.2893376 0.1379127 764.8638342 0.060932 337.928872 0.4436327 2460.3869542 0.9543609 5292.8855514 0.139038 771.104748 0.0427565 237.127549 0.2094607 1161.6690422 0.1206779 669.2796334 0.2249039 1247.3170294 0.0268176 148.7304096 0.2946588 1634.1777048 "(6.2224838, -75.5799454)" 6.2224838 -75.5799454 "(0.571,0.786]"
"12" 5044 7371 5866.9997841 0.7959571 5 "Antioquia" "Anza" 1890 0.9222222 1742.999958 0.3777778 714.000042 0.1650794 312.000066 0.4227513 798.999957 0.2275132 429.999948 0.1285714 242.999946 0.4285714 809.999946 0.9571429 1809.000081 0.173545 328.00005 0.2121693 400.999977 0.4899471 926.000019 0.410582 775.99998 0.242328 457.99992 0.0031746 5.999994 0.194709 368.00001 "(6.283333, -75.8833329)" 6.283333 -75.8833329 "(0.786,1]"
"13" 5045 134250 70391.75895 0.5243334 5 "Antioquia" "Apartadó" 33033 0.6280314 20745.7612362 0.326905 10798.652865 0.126016 4162.686528 0.2583192 8533.0581336 0.1775 5863.3575 0.0275265 909.2828745 0.5218629 17238.6971757 0.8773178 28980.4388874 0.4786795 15812.2199235 0.0416992 1377.4496736 0.1849268 6108.6869844 0.0466271 1540.2329943 0.0701439 2317.0634487 0.0692502 2287.5418566 0.2476293 8179.9386669 "(7.883609, -76.632111)" 7.883609 -76.632111 "(0.357,0.571]"
"14" 5051 31026 25614.1441278 0.8255703 5 "Antioquia" "Arboletes" 6687 0.848317 5672.695779 0.4464929 2985.6980223 0.1508798 1008.9332226 0.4610958 3083.3476146 0.2757503 1843.9422561 0.0508358 339.9389946 0.638968 4272.779016 0.9783183 6542.0144721 0.3688369 2466.4123503 0.0797824 533.5049088 0.5168432 3456.1304784 0.409961 2741.409207 0.621884 4158.538308 0.1618188 1082.0823156 0.3312471 2215.0493577 "(8.846205, -76.423126)" 8.846205 -76.423126 "(0.786,1]"
"15" 5055 6765 4791.00006 0.708204 5 "Antioquia" "Argelia*" 1683 0.896019 1507.999977 0.2560903 430.9999749 0.1271539 214.0000137 0.3915627 659.0000241 0.1948901 328.0000383 0.1016043 171.0000369 0.5127748 862.9999884 0.9720737 1636.0000371 0.0600119 101.0000277 0.1521093 255.9999519 0.3559121 599.0000643 0.4503862 757.9999746 0.057041 96.000003 0.0421866 71.0000478 0.1931075 324.9999225 "(5.731103000000001, -75.142021)" 5.731103 -75.142021 "(0.571,0.786]"
"16" 5059 5084 3977.0001804 0.7822581 5 "Antioquia" "Armenia" 1329 0.8924003 1185.9999987 0.4153499 552.0000171 0.1241535 165.0000015 0.3130173 415.9999917 0.1647856 219.0000624 0.0210685 28.0000365 0.6102333 811.0000557 0.9495862 1262.0000598 0.3408578 453.0000162 0.0744921 99.0000009 0.3363431 446.9999799 0.2911964 387.0000156 0.0150489 19.9999881 0.0022573 2.9999517 0.131678 175.000062 "(6.1563889, -75.7872222)" 6.1563889 -75.7872222 "(0.571,0.786]"
"17" 5079 42257 19858.8208238 0.4699534 5 "Antioquia" "Barbosa" 10768 0.6967326 7502.4166368 0.1410984 1519.3475712 0.0845788 910.7445184 0.3161699 3404.5174832 0.1411767 1520.1907056 0.0325414 350.4057952 0.4912022 5289.2652896 0.8650724 9315.0996032 0.2109103 2271.0821104 0.0229701 247.3420368 0.2972092 3200.3486656 0.1504277 1619.8054736 0.0344856 371.3409408 0.0025993 27.9892624 0.1451858 1563.3606944 "(6.439, -75.333)" 6.439 -75.333 "(0.357,0.571]"
"18" 5086 6186 4157.0000418 0.6720013 5 "Antioquia" "Belmira" 1481 0.8669818 1284.0000458 0.1512492 224.0000652 0.1370695 202.9999295 0.3119514 462.0000234 0.2356516 349.0000196 0.0952059 140.9999379 0.4841323 716.9999363 0.9480081 1403.9999961 0.1694801 251.0000281 0.0290344 42.9999464 0.4652262 689.0000022 0.4274139 632.9999859 0.0344362 51.0000122 0.0033761 5.0000041 0.1789332 265.0000692 "(6.6, -75.6666667)" 6.6 -75.6666667 "(0.571,0.786]"
"19" 5088 367674 115110.0522936 0.3130764 5 "Antioquia" "Bello" 96084 0.5481303 52666.5517452 0.0975402 9372.0525768 0.0627408 6028.3870272 0.28132 27030.35088 0.1109863 10664.0076492 0.0253137 2432.2415508 0.3888053 37357.9684452 0.7443439 71519.5392876 0.2410393 23160.0201012 0.0376183 3614.5167372 0.0430333 4134.8115972 0.0347174 3335.7866616 0.0109448 1051.6201632 0.0103401 993.5181684 0.110106 10579.424904 "(6.3404, -75.562271)" 6.3404 -75.562271 "(0.142,0.357]"
"20" 5091 10008 7275.000348 0.7269185 5 "Antioquia" "Betania" 2400 0.8891667 2134.00008 0.3754167 901.00008 0.1583333 379.99992 0.36875 885 0.1766667 424.00008 0.1 240 0.3983333 955.99992 0.9545833 2290.99992 0.1904167 457.00008 0.1408333 337.99992 0.4766667 1144.00008 0.31625 759 0.0175 42 0.0208333 49.99992 0.1733333 415.99992 "(5.75, -75.983333)" 5.75 -75.983333 "(0.571,0.786]"
