#"Código.Municipio" "Población" "Población.Pobre" "Incidencia" "Código.Departamento" "Departamento" "Municipio" "Número.de.Hogares" "Bajo.Logro.Educativo" "Bajo.Logro.Educativo.Absoluto" "Analfabetismo" "Analfabetismo.Absoluto" "Inasistencia.Escolar" "Inasistencia.Escolar.Absoluto" "Rezago.Escolar" "Rezago.Escolar.Absoluto" "Barreras.Cuidado.Primera.Infancia" "Barreras.Cuidado.Primera.Infancia.Absoluto" "Trabajo.Infantil" "Trabajo.Infantil.Absoluto" "Alta.Dependencia.Económica" "Alta.Dependencia.Económica.Absoluto" "Empleo.Informal" "Empleo.Informal.Absoluto" "Sin.Seguro.Salud" "Sin.Seguro.Salud.Absoluto" "Barreras.Acceso.Salud" "Barreras.Acceso.Salud.Absoluto" "Sin.Fuente.Agua.Mejorada" "Sin.Fuente.Agua.Mejorada.Absoluto" "Inadecuada.Eliminación.Excretas" "Inadecuada.Eliminación.Excretas.Absoluto" "Pisos.Inadecuados" "Pisos.Inadecuados.Absoluto" "Paredes.Inadecuadas" "Paredes.Inadecuadas.Absoluto" "Hacinamiento" "Hacinamiento.Absoluto" "Coordenadas" "Latitud" "Longitud" "NivelesIncidencia"
"125" 5895 25113 20064.28248 0.79896 5 "Antioquia" "Zaragoza" 6233 0.8577334 5346.2522822 0.3980141 2480.8218853 0.1767762 1101.8460546 0.4191033 2612.2708689 0.3342843 2083.5940419 0.0483152 301.1486416 0.5976619 3725.2266227 0.9781343 6096.7110919 0.4019957 2505.6391981 0.0694832 433.0887856 0.4802338 2993.2972754 0.4895287 3051.2323871 0.3886429 2422.4111957 0.1046643 652.3725819 0.3043276 1896.8739308 "(7.484759, -74.86799599999999)" 7.484759 -74.867996 "(0.786,1]"
"126" 8001 1110001 412921.1490007 0.3720007 8 "Atlántico" "Barranquilla" 257464 0.4430852 114078.4879328 0.1126049 28991.7079736 0.0752971 19386.2925544 0.267918 68979.239952 0.1432761 36888.4378104 0.026303 6772.075592 0.3985056 102600.8457984 0.900683 231893.447912 0.3427162 88237.0837168 0.0363143 9349.6249352 0.0337468 8688.5861152 0.0690614 17780.8242896 0.0349984 9010.8280576 0.0242088 6232.8944832 0.1945366 50086.1711824 "(10.9642103, -74.7970435)" 10.9642103 -74.7970435 "(0.357,0.571]"
"127" 8078 50216 36619.5560128 0.7292408 8 "Atlántico" "Baranoa" 10700 0.5827611 6235.54377 0.1898287 2031.16709 0.0575871 616.18197 0.2854412 3054.22084 0.2671738 2858.75966 0.0164227 175.72289 0.6511876 6967.70732 0.9408646 10067.25122 0.6267737 6706.47859 0.0789394 844.65158 0.2671498 2858.50286 0.8218317 8793.59919 0.0644226 689.32182 0.0244593 261.71451 0.2666269 2852.90783 "(10.8, -74.9166667)" 10.8 -74.9166667 "(0.571,0.786]"
"128" 8137 18345 15893.4677595 0.8663651 8 "Atlántico" "Campo de la Cruz" 3746 0.8131393 3046.0198178 0.4473896 1675.9214416 0.1829083 685.1744918 0.4291224 1607.4925104 0.3127759 1171.6585214 0.0882272 330.4990912 0.6810587 2551.2458902 0.9928269 3719.1295674 0.4957171 1856.9562566 0.0635452 238.0403192 0.1883354 705.5044084 0.9059943 3393.8546478 0.1398687 523.9481502 0.0327033 122.5065618 0.439803 1647.502038 "(10.3833333, -74.88333329999999)" 10.3833333 -74.8833333 "(0.786,1]"
"129" 8141 11635 10664.5537375 0.9165925 8 "Atlántico" "Candelaria" 2270 0.8514097 1932.700019 0.4542548 1031.158396 0.1111834 252.386318 0.3618403 821.377481 0.2764944 627.642288 0.0082938 18.826926 0.8763893 1989.403711 0.9845922 2235.024294 0.6127281 1390.892787 0.0225014 51.078178 0.4310754 978.541158 0.7686473 1744.829371 0.0727998 165.255546 0.0040818 9.265686 0.4554326 1033.832002 "(10.5, -74.83333329999999)" 10.5 -74.8333333 "(0.786,1]"
"130" 8296 31595 24740.3857625 0.7830475 8 "Atlántico" "Galapa" 6964 0.6510235 4533.727654 0.2073388 1443.9074032 0.0769274 535.7224136 0.3298419 2297.0189916 0.2418853 1684.4892292 0.0029676 20.6663664 0.8495272 5916.1074208 0.9332195 6498.940598 0.5248862 3655.3074968 0.0441779 307.6548956 0.2999628 2088.9409392 0.9160408 6379.3081312 0.0822122 572.5257608 0.0524339 365.1496796 0.3536745 2462.989218 "(10.89238, -74.878258)" 10.89238 -74.878258 "(0.571,0.786]"
"131" 8372 14182 9752.6295412 0.6876766 8 "Atlántico" "Juan de Acosta" 3074 0.6929899 2130.2509526 0.2412166 741.4998284 0.0714411 219.6099414 0.3273411 1006.2465414 0.1963069 603.4474106 0.014842 45.624308 0.6219469 1911.8647706 0.991734 3048.590316 0.4123164 1267.4606136 0.0731241 224.7834834 0.2898966 891.1421484 0.6633519 2039.1437406 0.0737061 226.5725514 0.0075308 23.1496792 0.266433 819.015042 "(10.8333333, -75.0333333)" 10.8333333 -75.0333333 "(0.571,0.786]"
"132" 8421 22862 20449.6749184 0.8944832 8 "Atlántico" "Luruaco" 4717 0.8666383 4087.9328611 0.4317155 2036.4020135 0.0867824 409.3525808 0.4204254 1983.1466118 0.3070231 1448.2279627 0.0250258 118.0466986 0.6449159 3042.0683003 0.9768655 4607.8745635 0.6199506 2924.3069802 0.0912679 430.5106843 0.3821597 1802.6473049 0.5816471 2743.6293707 0.2342534 1104.9732878 0.0306633 144.6387861 0.387515 1827.908255 "(10.6166667, -75.14999999999999)" 10.6166667 -75.15 "(0.786,1]"
"133" 8433 98676 61669.7074692 0.6249717 8 "Atlántico" "Malambo" 21672 0.6783416 14701.0191552 0.1999642 4333.6241424 0.0869337 1884.0271464 0.3739019 8103.2019768 0.2270914 4921.5248208 0.0169467 367.2688824 0.5904582 12796.4101104 0.9267154 20083.7761488 0.4493111 9737.4701592 0.0494898 1072.5429456 0.1199432 2599.4090304 0.3023143 6551.7555096 0.0932998 2021.9932656 0.0623737 1351.7628264 0.2430055 5266.415196 "(10.8687799, -74.76978299999999)" 10.8687799 -74.769783 "(0.571,0.786]"
"134" 8436 13448 10940.51954 0.8135425 8 "Atlántico" "Manatí" 2600 0.7295943 1896.94518 0.3480319 904.88294 0.0926869 240.98594 0.3399864 883.96464 0.2570081 668.22106 0.0095429 24.81154 0.7699131 2001.77406 0.9796987 2547.21662 0.4691277 1219.73202 0.0175258 45.56708 0.319701 831.2226 0.958428 2491.9128 0.0580853 151.02178 0.0080309 20.88034 0.367077 954.4002 "(10.45594, -74.961647)" 10.45594 -74.961647 "(0.786,1]"
"135" 8520 23000 14809.2699 0.6438813 8 "Atlántico" "Palmar de Varela" 4568 0.6269399 2863.8614632 0.2208762 1008.9624816 0.0536334 244.9973712 0.3543209 1618.5378712 0.139411 636.829448 0.0112815 51.533892 0.6198089 2831.2870552 0.9168822 4188.3178896 0.2676235 1222.504148 0.0642997 293.7210296 0.1066362 487.1141616 0.9856378 4502.3934704 0.0354276 161.8332768 0.0076267 34.8387656 0.3131877 1430.6414136 "(10.75, -74.75)" 10.75 -74.75 "(0.571,0.786]"
"136" 8549 4838 3959.97557 0.818515 8 "Atlántico" "Piojo" 891 0.7820616 696.8168856 0.3322959 296.0756469 0.0628886 56.0337426 0.352097 313.718427 0.1701667 151.6185297 0.0210161 18.7253451 0.7571259 674.5991769 0.9764825 870.0459075 0.2118793 188.7844563 0.1678024 149.5119384 0.9899045 882.0049095 0.65478 583.40898 0.1533803 136.6618473 0.0130212 11.6018892 0.4737415 422.1036765 "(10.75, -75.1166667)" 10.75 -75.1166667 "(0.786,1]"
"137" 8558 13516 11263.9140708 0.8333763 8 "Atlántico" "Polonuevo" 2730 0.6743128 1840.873944 0.2576536 703.394328 0.0946464 258.384672 0.2237449 610.823577 0.286794 782.94762 0.0073878 20.168694 0.7801405 2129.783565 0.9838497 2685.909681 0.5868037 1601.974101 0.0456593 124.649889 0.3674263 1003.073799 0.8347262 2278.802526 0.0471487 128.715951 0.0088291 24.103443 0.3353748 915.573204 "(10.78172, -74.859894)" 10.78172 -74.859894 "(0.786,1]"
"138" 8560 18394 16558.205224 0.900196 8 "Atlántico" "Ponedera" 3597 0.8252298 2968.3515906 0.4078374 1466.9911278 0.1608505 578.5792485 0.43426 1562.03322 0.3806331 1369.1372607 0.0235027 84.5392119 0.7045249 2534.1760653 0.9945527 3577.4060619 0.7037041 2531.2236477 0.0672634 241.9464498 0.2733628 983.2859916 0.6551357 2356.5231129 0.1056359 379.9723323 0.023753 85.439541 0.3371384 1212.6868248 "(10.5837464, -74.8039205)" 10.5837464 -74.8039205 "(0.786,1]"
"139" 8573 26839 11363.0770327 0.4233793 8 "Atlántico" "Puerto Colombia" 6140 0.4675003 2870.451842 0.1134981 696.878334 0.0387387 237.855618 0.3162815 1941.96841 0.1202913 738.588582 0.0210638 129.331732 0.5212222 3200.304308 0.9103095 5589.30033 0.2972649 1825.206486 0.0443797 272.491358 0.1215567 746.358138 0.1787613 1097.594382 0.1013317 622.176638 0.0546553 335.583542 0.2372979 1457.009106 "(11.0166667, -74.88333329999999)" 11.0166667 -74.8833333 "(0.357,0.571]"
"140" 8606 22172 17608.071176 0.794158 8 "Atlántico" "Repelón" 4894 0.7911787 3872.0285578 0.3704384 1812.9255296 0.0860427 421.0929738 0.4063252 1988.5555288 0.199158 974.679252 0.0247021 120.8920774 0.697963 3415.830922 0.981908 4805.457752 0.3076242 1505.5128348 0.1115318 545.8366292 0.2360387 1155.1733978 0.7805164 3819.8472616 0.2143171 1048.8678874 0.0034461 16.8652134 0.352694 1726.084436 "(10.49646, -75.12561)" 10.49646 -75.12561 "(0.786,1]"
"141" 8634 24845 15288.216711 0.6153438 8 "Atlántico" "Sabanagrande" 5211 0.662902 3454.382322 0.2474683 1289.5573113 0.1471856 766.9841616 0.3546114 1847.8800054 0.1893712 986.8133232 0.0213455 111.2314005 0.6450899 3361.5634689 0.9406629 4901.7943719 0.2715687 1415.1444957 0.0333516 173.7951876 0.0763358 397.7858538 0.1923565 1002.3697215 0.1135889 591.9117579 0.0869053 452.8635183 0.3295459 1717.2636849 "(10.79585, -74.75518799999999)" 10.79585 -74.755188 "(0.571,0.786]"
"142" 8638 84269 51234.3385264 0.6079856 8 "Atlántico" "Sabanalarga" 17012 0.6231502 10601.0312024 0.2876554 4893.5936648 0.0927822 1578.4107864 0.2931096 4986.3805152 0.2207083 3754.6895996 0.0177098 301.2791176 0.6856549 11664.3611588 0.9694754 16492.7155048 0.4552256 7744.2979072 0.0412661 702.0188932 0.2936333 4995.2896996 0.4108292 6989.0263504 0.0989955 1684.111446 0.0487084 828.6273008 0.3060735 5206.922382 "(10.63534, -74.91890699999999)" 10.63534 -74.918907 "(0.571,0.786]"
"143" 8675 11935 10054.16335 0.84241 8 "Atlántico" "Santa Lucía" 2320 0.8424796 1954.552672 0.3944776 915.188032 0.1411749 327.525768 0.3565864 827.280448 0.235316 545.93312 0.0256356 59.474592 0.7694811 1785.196152 0.9906025 2298.1978 0.3075237 713.454984 0.0399098 92.590736 0.1301855 302.03036 0.6759872 1568.290304 0.1826731 423.801592 0.0393937 91.393384 0.4690365 1088.16468 "(10.33356, -74.96151)" 10.33356 -74.96151 "(0.786,1]"
"144" 8685 23150 12651.241185 0.5464899 8 "Atlántico" "Santo Tomás" 4639 0.530961 2463.128079 0.2138358 991.9842762 0.0490705 227.6380495 0.3544844 1644.4531316 0.177692 824.313188 0.016625 77.123375 0.5667706 2629.2488134 0.8769936 4068.3733104 0.4084092 1894.6102788 0.0740786 343.6506254 0.2014492 934.5228388 0.4140629 1920.8377931 0.0604351 280.3584289 0.0425797 197.5272283 0.2987664 1385.9773296 "(10.7473163, -74.7922202)" 10.7473163 -74.7922202 "(0.357,0.571]"
"145" 8758 455381 206806.0898066 0.4541386 8 "Atlántico" "Soledad" 102367 0.5107342 52282.3278514 0.1422901 14565.8106667 0.0986273 10096.1808191 0.2978376 30488.7415992 0.168242 17222.428814 0.0284783 2915.2381361 0.4381276 44849.8080292 0.8905109 91158.9293003 0.3753555 38424.0164685 0.0424983 4350.4234761 0.1603606 16415.6335402 0.1296581 13272.7107227 0.0344162 3523.0831454 0.0113284 1159.6543228 0.2014105 20617.7886535 "(10.9166667, -74.75)" 10.9166667 -74.75 "(0.357,0.571]"
"146" 8770 9341 8412.4177287 0.9005907 8 "Atlántico" "Suán" 1554 0.7764351 1206.5801454 0.3990034 620.0512836 0.1081589 168.0789306 0.3275266 508.9763364 0.2254059 350.2807686 0.0099819 15.5118726 0.8285395 1287.550383 0.9865145 1533.043533 0.4745284 737.4171336 0.0766984 119.1893136 0.0897969 139.5443826 0.9403152 1461.2498208 0.1239188 192.5698152 0.0082749 12.8591946 0.4513238 701.3571852 "(10.3333333, -74.88333329999999)" 10.3333333 -74.8833333 "(0.786,1]"
"147" 8832 10580 7192.602458 0.6798301 8 "Atlántico" "Tubará" 2317 0.7262985 1682.8336245 0.2710134 627.9380478 0.0584225 135.3649325 0.3115412 721.8409604 0.1318001 305.3808317 0.0236412 54.7766604 0.6006415 1391.6863555 0.9335456 2163.0251552 0.2628922 609.1212274 0.0527649 122.2562733 0.4114101 953.2372017 0.6545184 1516.5191328 0.117418 272.057506 0.0175794 40.7314698 0.2887798 669.1027966 "(10.8997767, -74.9910112)" 10.8997767 -74.9910112 "(0.571,0.786]"
"148" 8849 8561 6706.7113708 0.7834028 8 "Atlántico" "Usiacuri" 1590 0.726845 1155.68355 0.2526165 401.660235 0.0809428 128.699052 0.2488287 395.637633 0.1471351 233.944809 0.0263882 41.957238 0.6608613 1050.769467 0.9652028 1534.672452 0.4816278 765.788202 0.1062463 168.931617 0.2400702 381.711618 0.9232421 1467.954939 0.1419574 225.712266 0.0210001 33.390159 0.4509541 717.017019 "(10.75, -74.9833333)" 10.75 -74.9833333 "(0.571,0.786]"
"149" 11001 6740859 1638155.4651492 0.2430188 11 "Bogotá D.C." "Bogotá D.C." 1931372 0.4211521 813401.3736812 0.0794591 153465.0808852 0.0461547 89141.8952484 0.2139328 413183.8198016 0.0919136 177519.3534592 0.0256067 49456.0633924 0.2741954 529573.3180888 0.7716046 1490255.5195112 0.2189555 422884.521946 0.0429374 82928.0921128 0.0145544 28109.9606368 0.0199177 38468.4880844 0.0067382 13013.9708104 0.0080824 15610.1210528 0.1411963 272702.5803236 "(4.598055599999999, -74.0758333)" 4.5980556 -74.0758333 "(0.142,0.357]"
"150" 13001 892163 379841.5198205 0.4257535 13 "Bolívar" "Cartagena" 206634 0.4988243 103074.0604062 0.1651446 34124.4892764 0.0655859 13552.2768606 0.2621774 54174.7648716 0.1375075 28413.724755 0.0200193 4136.6680362 0.499064 103123.590576 0.9078497 187592.6149098 0.3342757 69072.7249938 0.0322881 6671.8192554 0.0984575 20344.667055 0.1956676 40431.5788584 0.0951696 19665.2751264 0.0772901 15970.7625234 0.2663322 55033.2878148 "(10.41373, -75.5335769)" 10.41373 -75.5335769 "(0.357,0.571]"
"151" 13006 19606 18146.9234406 0.9255801 13 "Bolívar" "Achí" 4258 0.9315261 3966.4381338 0.4762329 2027.7996882 0.1538479 655.0843582 0.4416192 1880.4145536 0.2499721 1064.3812018 0.0576521 245.4826418 0.6256137 2663.8631346 0.9894566 4213.1062028 0.3346307 1424.8575206 0.0796645 339.211441 0.8161509 3475.1705322 0.8534443 3633.9658294 0.7773771 3310.0716918 0.3265877 1390.6104266 0.398157 1695.352506 "(8.566666699999999, -74.55)" 8.5666667 -74.55 "(0.786,1]"
"152" 13030 10665 9970.9996545 0.9349273 13 "Bolívar" "Altos Del Rosario" 2042 0.9402547 1920.0000974 0.5553379 1133.9999918 0.1591577 325.0000234 0.4422135 902.999967 0.2771792 565.9999264 0.0435847 88.9999574 0.7698335 1572.000007 0.9955926 2033.0000892 0.5244858 1071.0000036 0.0979432 200.0000144 0.380999 777.999958 0.9289912 1897.0000304 0.4696376 958.9999792 0.1900098 388.0000116 0.4642507 947.9999294 "(8.799999999999999, -74.1666667)" 8.8 -74.1666667 "(0.786,1]"
"153" 13042 7363 6482.0001151 0.8803477 13 "Bolívar" "Arenal" 1468 0.8848774 1299.0000232 0.3603542 528.9999656 0.1948229 286.0000172 0.4053134 595.0000712 0.3385559 497.0000612 0.0674387 99.0000116 0.6144414 901.9999752 0.9836512 1443.9999616 0.4489101 659.0000268 0.1614441 236.9999388 0.4019074 590.0000632 0.8038147 1179.9999796 0.4455041 654.0000188 0.1158038 169.9999784 0.4564033 670.0000444 "(8.4666667, -73.95)" 8.4666667 -73.95 "(0.786,1]"
"154" 13052 60554 48004.0563366 0.7927479 13 "Bolívar" "Arjona" 12821 0.7758112 9946.6753952 0.3933121 5042.6544341 0.104488 1339.640648 0.3580076 4590.0154396 0.1960953 2514.1378413 0.0254051 325.7187871 0.6274544 8044.5928624 0.9735156 12481.4435076 0.3080257 3949.1974997 0.048162 617.485002 0.3289246 4217.1422966 0.8483142 10876.2363582 0.1799426 2307.0440746 0.0695615 891.8479915 0.3872684 4965.1681564 "(10.1666667, -75.33333329999999)" 10.1666667 -75.3333333 "(0.786,1]"
"155" 13062 8799 8514.00039 0.96761 13 "Bolívar" "Arroyohondo" 1362 0.9265786 1262.0000532 0.5704846 777.0000252 0.1005874 137.0000388 0.3546256 483.0000672 0.2268722 308.9999364 0.0029369 4.0000578 0.9625551 1311.0000462 0.9992658 1361.0000196 0.7070485 963.000057 0.0469897 63.9999714 0.6101322 831.0000564 0.7209985 981.999957 0.1975037 269.0000394 0.0565345 76.999989 0.4596182 625.9999884 "(10.2434018, -74.9910112)" 10.2434018 -74.9910112 "(0.786,1]"
"156" 13074 15170 13858.999498 0.9135794 13 "Bolívar" "Barranco De Loba" 3221 0.8873021 2858.0000641 0.4349581 1401.0000401 0.2132878 687.0000038 0.4722136 1521.0000056 0.3769016 1214.0000536 0.0565042 182.0000282 0.6786712 2185.9999352 0.9891338 3185.9999698 0.5079168 1636.0000128 0.1105247 356.0000587 0.6317914 2035.0000994 0.8410432 2709.0001472 0.5901894 1901.0000574 0.1962124 632.0001404 0.4209873 1356.0000933 "(8.946054, -74.106972)" 8.946054 -74.106972 "(0.786,1]"
"157" 13140 20702 19014.9360544 0.9185072 13 "Bolívar" "Calamar" 4217 0.8398012 3541.4416604 0.466141 1965.716597 0.0999696 421.5718032 0.3410737 1438.3077929 0.313708 1322.906636 0.0191773 80.8706741 0.8119648 3424.0555616 0.994618 4194.304106 0.6918293 2917.4441581 0.0446937 188.4733329 0.5029783 2121.0594911 0.8766573 3696.8638341 0.2907052 1225.9038284 0.140589 592.863813 0.4110324 1733.3236308 "(10.26595, -74.920059)" 10.26595 -74.920059 "(0.786,1]"
"158" 13160 7839 5829.9003594 0.7437046 13 "Bolívar" "Cantagallo" 1955 0.8565675 1674.5894625 0.2422627 473.6235785 0.1693459 331.0712345 0.3988723 779.7953465 0.2170093 424.2531815 0.0280737 54.8840835 0.5248699 1026.1206545 0.9867177 1929.0331035 0.3503238 684.883029 0.1402665 274.2210075 0.4790905 936.6219275 0.4962728 970.213324 0.5186024 1013.867692 0.0699482 136.748731 0.2054654 401.684857 "(7.4166667, -73.95)" 7.4166667 -73.95 "(0.571,0.786]"
"159" 13188 10973 9414.9996923 0.8580151 13 "Bolívar" "Cicuco" 2239 0.8624386 1931.0000254 0.4265297 954.9999983 0.1545333 346.0000587 0.4323359 968.0000801 0.2648504 593.0000456 0.0553819 124.0000741 0.6118803 1369.9999917 0.9892809 2214.9999351 0.3640018 815.0000302 0.2134882 478.0000798 0.1473872 329.9999408 0.8436802 1888.9999678 0.4055382 908.0000298 0.1585529 354.9999431 0.4667262 1044.9999618 "(9.2666667, -74.64999999999999)" 9.2666667 -74.65 "(0.786,1]"
"160" 13212 12798 11043.9995454 0.8629473 13 "Bolívar" "Córdoba" 2809 0.8974724 2520.9999716 0.5898896 1656.9998864 0.1616234 454.0001306 0.3951584 1109.9999456 0.2239231 628.9999879 0.0348879 98.0001111 0.6404414 1798.9998926 0.990388 2781.999892 0.2321111 652.0000799 0.0872197 245.0001373 0.255251 717.000059 0.5493058 1542.9999922 0.5475258 1537.9999722 0.1626913 456.9998617 0.3303667 928.0000603 "(9.58722, -74.82939999999999)" 9.58722 -74.8294 "(0.786,1]"
"161" 13222 11610 10021.803084 0.8632044 13 "Bolívar" "Clemencia" 2324 0.8579916 1993.9724784 0.4260908 990.2350192 0.1072845 249.329178 0.5291066 1229.6437384 0.2642146 614.0347304 0.0435428 101.1934672 0.6244839 1451.3005836 0.9848697 2288.8371828 0.3227084 749.9743216 0.1159854 269.5500696 0.5371356 1248.3031344 0.8355603 1941.8421372 0.3071556 713.8296144 0.2200627 511.4257148 0.4925887 1144.7761388 "(10.57004, -75.323982)" 10.57004 -75.323982 "(0.786,1]"
"162" 13244 65861 57105.0830106 0.8670546 13 "Bolívar" "El Carmen de Bolivar" 13358 0.8430956 11262.0710248 0.5344977 7139.8202766 0.1381011 1844.7544938 0.4106443 5485.3865594 0.2036073 2719.7863134 0.0376857 503.4055806 0.6100625 8149.214875 0.9843541 13149.0020678 0.308894 4126.206052 0.0622403 831.4059274 0.989148 13213.038984 0.9382157 12532.6853206 0.4216246 5632.0614068 0.0744456 994.4443248 0.4230206 5650.7091748 "(9.7166667, -75.13333329999999)" 9.7166667 -75.1333333 "(0.786,1]"
"163" 13248 7724 6537.9998824 0.8464526 13 "Bolívar" "El Guamo" 1636 0.9199267 1505.0000812 0.5647922 924.0000392 0.1381418 225.9999848 0.3496333 572.0000788 0.1265281 206.9999716 0.0213936 34.9999296 0.6002445 982.000002 0.9963325 1629.99997 0.106357 174.000052 0.0250611 40.9999596 0.1369193 223.9999748 0.6570905 1075.000058 0.3606357 590.0000052 0.0220049 36.0000164 0.3722494 609.0000184 "(10.0833333, -74.9166667)" 10.0833333 -74.9166667 "(0.786,1]"
"164" 13268 7842 7080.9997728 0.9029584 13 "Bolívar" "El Peñon" 1493 0.8975218 1340.0000474 0.4172806 622.9999358 0.1312793 195.9999949 0.4989953 744.9999829 0.2920295 436.0000435 0.0542532 81.0000276 0.6416611 958.0000223 0.9919625 1481.0000125 0.2793034 416.9999762 0.1473543 219.9999699 0.5653048 844.0000664 0.809779 1209.000047 0.5438714 812.0000002 0.1815137 270.9999541 0.5043537 753.0000741 "(8.98333, -73.95)" 8.98333 -73.95 "(0.786,1]"
"165" 13300 11274 10688.000028 0.948022 13 "Bolívar" "Hatillo De Loba" 1816 0.8953744 1625.9999104 0.563326 1023.000016 0.2197137 399.0000792 0.5677313 1031.0000408 0.4878855 886.000068 0.0424009 77.0000344 0.7626652 1385.0000032 0.9917401 1801.0000216 0.7296256 1325.0000896 0.2334802 424.0000432 0.4174009 758.0000344 0.7637665 1386.999964 0.5776432 1049.0000512 0.2037445 370.000012 0.5550661 1008.0000376 "(8.95861, -74.0808)" 8.95861 -74.0808 "(0.786,1]"
"166" 13430 120692 88087.0320616 0.7298498 13 "Bolívar" "Magangué" 25845 0.7448479 19250.5939755 0.3424945 8851.7703525 0.1319725 3410.8292625 0.3572497 9233.1184965 0.2477754 6403.755213 0.0406105 1049.5783725 0.6308957 16305.4993665 0.9703203 25077.9281535 0.3559175 9198.6877875 0.0441145 1140.1392525 0.1985801 5132.3026845 0.5015128 12961.598316 0.3671843 9489.8782335 0.1613063 4168.9613235 0.3601124 9307.104978 "(9.25, -74.7666667)" 9.25 -74.7666667 "(0.571,0.786]"
"167" 13433 22983 18427.0707168 0.8017696 13 "Bolívar" "Mahates" 5528 0.8426824 4658.3483072 0.3988848 2205.0351744 0.0917971 507.4543688 0.3079713 1702.4653464 0.1915406 1058.8364368 0.0276414 152.8016592 0.6324842 3496.3726576 0.9856662 5448.7627536 0.4934707 2727.9060296 0.0278208 153.7933824 0.2428042 1342.2216176 0.6030574 3333.7013072 0.2687824 1485.8291072 0.1097607 606.7571496 0.2533565 1400.554732 "(10.2333333, -75.1833333)" 10.2333333 -75.1833333 "(0.786,1]"
"168" 13440 9342 9003.9999006 0.9638193 13 "Bolívar" "Margarita" 1876 0.9205757 1727.0000132 0.5804904 1088.9999904 0.2222814 416.9999064 0.4099147 768.9999772 0.3198294 599.9999544 0.0159915 30.000054 0.8555437 1604.9999812 0.999467 1875.000092 0.7105544 1333.0000544 0.1050107 197.0000732 0.478145 897.00002 0.6476546 1215.0000296 0.6098081 1143.9999956 0.0618337 116.0000212 0.3379531 634.0000156 "(9.0833333, -74.2)" 9.0833333 -74.2 "(0.786,1]"
"169" 13442 45246 39407.343045 0.8709575 13 "Bolívar" "María la Baja" 10643 0.8903305 9475.7875115 0.4759203 5065.2197529 0.1441676 1534.3757668 0.4858005 5170.3747215 0.268673 2859.486739 0.0372518 396.4709074 0.6019481 6406.5336283 0.9962759 10603.3644037 0.2874325 3059.1440975 0.0914266 973.0533038 0.8521027 9068.9290361 0.7804937 8306.7944491 0.404657 4306.764451 0.1453911 1547.3974773 0.3136342 3338.0087906 "(10, -75.33333329999999)" 10 -75.3333333 "(0.786,1]"
"170" 13458 11169 10176.9995763 0.9111827 13 "Bolívar" "Montecristo" 2456 0.901873 2215.000088 0.512215 1258.00004 0.1282573 314.9999288 0.2988599 733.9999144 0.2235342 548.9999952 0.0692182 169.9998992 0.6486156 1592.9999136 0.9983713 2451.9999128 0.6885179 1690.9999624 0.0989414 243.0000784 0.2520358 618.9999248 0.9820847 2412.0000232 0.4873779 1197.0001224 0.2837948 697.0000288 0.3420195 839.999892 "(8.299439999999999, -74.4756)" 8.29944 -74.4756 "(0.786,1]"
"171" 13468 41222 30726.3800138 0.7453879 13 "Bolívar" "Mompox" 7988 0.7156508 5716.6185904 0.3508374 2802.4891512 0.1113236 889.2529168 0.355034 2836.011592 0.2947874 2354.7617512 0.0521107 416.2602716 0.6774597 5411.5480836 0.9717625 7762.43885 0.4840779 3866.8142652 0.031186 249.113768 0.2067927 1651.8600876 0.465691 3719.939708 0.4049443 3234.6950684 0.1394791 1114.1590508 0.3945161 3151.3946068 "(9.24678, -74.43135)" 9.24678 -74.43135 "(0.571,0.786]"
"172" 13473 13211 11237.0004901 0.8505791 13 "Bolívar" "Morales" 3006 0.8865602 2664.9999612 0.3902196 1173.0001176 0.16334 491.00004 0.4231537 1272.0000222 0.3233533 972.0000198 0.0582169 175.0000014 0.5691949 1710.9998694 0.9833666 2955.9999996 0.4677312 1405.9999872 0.0904857 272.0000142 0.4011976 1205.9999856 0.3852295 1157.999877 0.5296075 1592.000145 0.1470393 442.0001358 0.3339987 1004.0000922 "(8.277742, -73.865067)" 8.277742 -73.865067 "(0.786,1]"
"173" 13549 22714 20832.9991464 0.9171876 13 "Bolívar" "Pinillos" 4380 0.8942922 3916.999836 0.4445205 1946.99979 0.1593607 697.999866 0.5086758 2228.000004 0.3477169 1523.000022 0.0324201 142.000038 0.8061644 3531.000072 0.993379 4351.00002 0.2778539 1217.000082 0.1876712 821.999856 0.7079909 3101.000142 0.7269406 3183.999828 0.7700913 3372.999894 0.2821918 1236.000084 0.469863 2057.99994 "(8.92031, -74.461586)" 8.92031 -74.461586 "(0.786,1]"
"174" 13580 4470 3943.999902 0.8823266 13 "Bolívar" "Regidor" 938 0.8710021 816.9999698 0.3187633 298.9999754 0.1428571 133.9999598 0.4072495 382.000031 0.3272921 306.9999898 0.0351812 32.9999656 0.6684435 627.000003 0.989339 927.999982 0.434968 407.999984 0.1886994 177.0000372 0.3294243 308.9999934 0.7164179 671.9999902 0.4957356 464.9999928 0.2633262 246.9999756 0.4360341 408.9999858 "(8.6666667, -73.83333329999999)" 8.6666667 -73.8333333 "(0.786,1]"
