cod.municipio,homicidios12,homicidios13,poblacion12,poblacion13,tasa.homicidios12,tasa.homicidios13
68720,0,0,4349,4330,0.00,0.00
68745,2,0,8107,7996,0.25,0.00
68755,4,2,30142,30295,0.13,0.07
68770,0,0,10477,10408,0.00,0.00
68773,0,0,8638,8559,0.00,0.00
68780,0,0,3398,3362,0.00,0.00
68820,1,0,6962,7001,0.14,0.00
68855,1,0,4841,4778,0.21,0.00
68861,3,2,19255,19185,0.16,0.10
68867,1,0,2407,2416,0.42,0.00
68872,1,1,6193,6082,0.16,0.16
68895,0,0,9061,9019,0.00,0.00
70001,82,80,263776,267571,0.31,0.30
70110,0,1,9375,9434,0.00,0.11
70124,0,5,11745,11860,0.00,0.42
70204,0,0,5946,5915,0.00,0.00
70215,2,7,61126,61557,0.03,0.11
70221,3,9,12832,13060,0.23,0.69
70230,0,0,4305,4322,0.00,0.00
70233,0,0,10200,10312,0.00,0.00
70235,0,1,19243,19556,0.00,0.05
70265,6,4,16786,16989,0.36,0.24
70400,0,1,10896,10983,0.00,0.09
70418,1,3,19282,19270,0.05,0.16
70429,2,1,32731,32904,0.06,0.03
70473,1,2,13926,14087,0.07,0.14
70508,1,0,21258,21196,0.05,0.00
70523,3,0,12928,13176,0.23,0.00
70670,4,10,37496,37644,0.11,0.27
70678,0,2,24645,24899,0.00,0.08
70702,0,0,12499,12515,0.00,0.00
70708,13,10,55032,55698,0.24,0.18
70713,15,15,48961,49372,0.31,0.30
70717,0,2,16167,16122,0.00,0.12
70742,0,2,32713,33039,0.00,0.06
70771,0,3,22363,22366,0.00,0.13
70820,11,7,31641,32187,0.35,0.22
70823,2,1,18908,18903,0.11,0.05
73001,106,93,537467,542876,0.20,0.17
73024,0,0,5055,5034,0.00,0.00
73026,2,4,8874,8859,0.23,0.45
73030,3,3,7084,7000,0.42,0.43
73043,9,9,17815,18015,0.51,0.50
73055,2,8,12289,12179,0.16,0.66
73067,11,6,22306,22371,0.49,0.27
73124,11,5,19699,19685,0.56,0.25
73148,1,2,8680,8715,0.12,0.23
73152,4,4,6768,6738,0.59,0.59
73168,31,15,47028,47082,0.66,0.32
73200,3,1,9520,9592,0.32,0.10
73217,4,5,28176,28221,0.14,0.18
73226,2,3,9987,9898,0.20,0.30
73236,1,0,8392,8301,0.12,0.00
73268,7,11,76377,76341,0.09,0.14
73270,4,1,9239,9232,0.43,0.11
73275,29,25,28801,28903,1.01,0.86
73283,10,11,30617,30500,0.33,0.36
73319,8,8,33129,32877,0.24,0.24
73347,3,3,8423,8312,0.36,0.36
73349,5,13,25519,25263,0.20,0.51
73352,4,4,11224,11148,0.36,0.36
73408,1,1,18156,17966,0.06,0.06
73411,10,13,41012,40822,0.24,0.32
73443,18,14,33234,33259,0.54,0.42
73449,9,9,35135,35439,0.26,0.25
73461,1,1,5055,5038,0.20,0.20
73483,4,2,22763,22698,0.18,0.09
73504,4,6,32809,32700,0.12,0.18
73520,5,4,9312,9277,0.54,0.43
73547,1,0,5567,5584,0.18,0.00
73555,11,17,29792,29832,0.37,0.57
73563,2,2,8069,7968,0.25,0.25
73585,0,3,28885,29012,0.00,0.10
73616,11,15,24869,24756,0.44,0.61
73622,2,3,6303,6317,0.32,0.47
73624,14,18,20934,20844,0.67,0.86
73671,4,1,14650,14586,0.27,0.07
73675,6,6,14662,14575,0.41,0.41
73678,1,0,19196,19186,0.05,0.00
73686,1,1,6437,6423,0.16,0.16
73770,2,0,4539,4545,0.44,0.00
73854,9,2,6291,6317,1.43,0.32
73861,1,2,19359,19437,0.05,0.10
73870,4,6,10872,10818,0.37,0.55
73873,3,1,5668,5599,0.53,0.18
76001,1819,1964,2294653,2319684,0.79,0.85
76020,14,9,20110,20512,0.70,0.44
76036,12,17,17889,17865,0.67,0.95
76041,36,20,19876,19771,1.81,1.01
76054,5,4,6518,6493,0.77,0.62
76100,13,20,14001,13827,0.93,1.45
76109,122,187,377105,384504,0.32,0.49
76111,95,94,115772,115609,0.82,0.81
76113,11,20,21312,21264,0.52,0.94
76122,37,49,30132,30032,1.23,1.63
76126,20,7,15682,15712,1.28,0.45
76130,27,28,78111,79297,0.35,0.35
76147,113,110,130076,130820,0.87,0.84
76233,21,20,36046,36159,0.58,0.55
76243,10,15,10945,10987,0.91,1.37
76246,6,2,9777,9847,0.61,0.20
76248,42,54,56608,56892,0.74,0.95
76250,20,4,8792,8701,2.27,0.46
76275,60,50,57485,57699,1.04,0.87
76306,4,4,20479,20665,0.20,0.19
76318,23,23,33667,33955,0.68,0.68
76364,90,74,112346,114707,0.80,0.65
76377,5,6,11379,11418,0.44,0.53
76400,43,51,35836,36452,1.20,1.40
76403,16,8,13518,13426,1.18,0.60
76497,9,12,14768,14837,0.61,0.81
76520,274,186,298671,300707,0.92,0.62
76563,73,25,53143,53804,1.37,0.46
76606,3,7,16103,16145,0.19,0.43
76616,29,12,15439,15193,1.88,0.79
76622,48,34,33343,33153,1.44,1.03
76670,9,9,17397,17644,0.52,0.51
76736,27,36,45965,45696,0.59,0.79
76823,12,21,16218,16277,0.74,1.29
76828,11,15,18289,18223,0.60,0.82
76834,198,146,204138,206610,0.97,0.71
76845,3,3,5553,5520,0.54,0.54
76863,2,3,7514,7411,0.27,0.40
76869,4,1,10621,10748,0.38,0.09
76890,17,15,16053,16119,1.06,0.93
76892,67,70,109131,111753,0.61,0.63
76895,29,22,43908,44342,0.66,0.50
81001,5,14,84716,85994,0.06,0.16
81065,56,23,39984,40432,1.40,0.57
81220,1,2,3428,3390,0.29,0.59
81300,17,32,24308,24663,0.70,1.30
81591,1,0,3871,3861,0.26,0.00
81736,43,28,46006,46425,0.93,0.60
81794,60,62,51252,51762,1.17,1.20
85001,16,24,129943,133220,0.12,0.18
85010,10,5,35267,36335,0.28,0.14
85015,2,0,2295,2352,0.87,0.00
85125,4,3,11511,11719,0.35,0.26
85136,0,1,1381,1394,0.00,0.72
85139,2,3,11151,11142,0.18,0.27
85162,2,5,14239,14436,0.14,0.35
85225,1,5,8704,8738,0.11,0.57
85230,1,4,8157,8207,0.12,0.49
85250,12,7,26799,26741,0.45,0.26
85263,2,2,7933,7921,0.25,0.25
85279,1,0,3621,3770,0.28,0.00
85300,0,1,3121,3073,0.00,0.33
85315,2,0,1916,1944,1.04,0.00
85325,3,2,7646,7688,0.39,0.26
85400,1,4,7054,7051,0.14,0.57
85410,7,1,20215,20830,0.35,0.05
85430,4,4,13707,14046,0.29,0.28
85440,4,11,23226,23433,0.17,0.47
86001,8,14,39867,40579,0.20,0.35
86219,0,0,5389,5427,0.00,0.00
86320,14,22,49420,50424,0.28,0.44
86568,49,69,58446,58951,0.84,1.17
86569,16,25,14441,14484,1.11,1.73
86571,11,10,23316,23426,0.47,0.43
86573,7,10,15562,15517,0.45,0.64
86749,2,0,13876,13963,0.14,0.00
86755,0,3,7005,7029,0.00,0.43
86757,13,16,24967,25476,0.52,0.63
86760,0,0,10072,10192,0.00,0.00
86865,18,32,49934,50582,0.36,0.63
86885,12,16,20952,21004,0.57,0.76
88001,12,19,69463,70069,0.17,0.27
88564,0,0,5078,5098,0.00,0.00
91001,7,9,40342,40673,0.17,0.22
91263,0,0,4708,4752,0.00,0.00
91405,0,0,3715,3769,0.00,0.00
91407,0,0,4578,4711,0.00,0.00
91430,0,0,1066,1078,0.00,0.00
91460,0,0,1555,1546,0.00,0.00
91530,0,0,1715,1788,0.00,0.00
91536,0,0,1380,1370,0.00,0.00
91540,0,0,7808,7925,0.00,0.00
91669,0,0,2758,2815,0.00,0.00
91798,0,0,4074,4114,0.00,0.00
94001,0,5,19282,19464,0.00,0.26
94343,0,0,4732,4776,0.00,0.00
94663,0,0,2924,2898,0.00,0.00
94883,0,0,1819,1894,0.00,0.00
94884,0,0,4440,4538,0.00,0.00
94885,0,0,312,326,0.00,0.00
94886,0,0,2173,2270,0.00,0.00
94887,0,0,2851,2948,0.00,0.00
94888,0,0,1041,1089,0.00,0.00
95001,34,42,61383,62437,0.55,0.67
95015,10,6,9734,9519,1.03,0.63
95025,7,4,21803,22192,0.32,0.18
95200,1,10,13466,13786,0.07,0.73
97001,1,2,30658,30962,0.03,0.06
97161,0,0,3310,3317,0.00,0.00
97511,0,0,5316,5445,0.00,0.00
97666,0,0,1000,992,0.00,0.00
97777,0,0,857,853,0.00,0.00
97889,0,0,1251,1248,0.00,0.00
99001,4,6,15012,15258,0.27,0.39
99524,4,4,13791,14294,0.29,0.28
99624,0,0,3807,3877,0.00,0.00
99773,19,8,34307,35146,0.55,0.23
