cod.municipio,homicidios12,homicidios13,poblacion12,poblacion13,tasa.homicidios12,tasa.homicidios13
23417,18,26,115808,116631,0.16,0.22
23419,4,2,21768,22399,0.18,0.09
23464,1,2,14540,14644,0.07,0.14
23466,30,20,76010,77770,0.39,0.26
23500,0,7,26191,26593,0.00,0.26
23555,16,9,65502,66074,0.24,0.14
23570,2,2,36287,37034,0.06,0.05
23574,2,3,26652,27462,0.08,0.11
23580,14,16,43287,44694,0.32,0.36
23586,0,4,14947,14989,0.00,0.27
23660,13,13,89204,89439,0.15,0.15
23670,1,2,39530,40580,0.03,0.05
23672,19,20,29682,30240,0.64,0.66
23675,2,8,33687,34049,0.06,0.23
23678,1,7,26002,26366,0.04,0.27
23682,2,4,10514,10664,0.19,0.38
23686,2,7,42225,42680,0.05,0.16
23807,44,48,92948,95228,0.47,0.50
23815,0,5,35219,36024,0.00,0.14
23855,2,7,40160,41084,0.05,0.17
25001,1,1,11258,11172,0.09,0.09
25019,0,2,5955,5955,0.00,0.34
25035,3,2,12731,12908,0.24,0.15
25040,0,1,12599,12492,0.00,0.08
25053,0,2,12155,12201,0.00,0.16
25086,0,0,2110,2135,0.00,0.00
25095,0,0,2559,2554,0.00,0.00
25099,1,1,10708,10976,0.09,0.09
25120,2,2,4560,4540,0.44,0.44
25123,4,1,9892,9873,0.40,0.10
25126,4,7,53397,54550,0.07,0.13
25148,1,0,16636,16651,0.06,0.00
25151,1,0,16827,16897,0.06,0.00
25154,0,0,8885,8956,0.00,0.00
25168,0,1,3999,3999,0.00,0.25
25175,1,5,117786,120719,0.01,0.04
25178,1,0,8399,8399,0.12,0.00
25181,1,0,10891,10826,0.09,0.00
25183,2,1,23400,23999,0.09,0.04
25200,2,3,21098,21517,0.09,0.14
25214,2,2,23385,23897,0.09,0.08
25224,1,2,7351,7397,0.14,0.27
25245,4,5,21460,21592,0.19,0.23
25258,0,1,4846,4836,0.00,0.21
25260,0,2,16122,16486,0.00,0.12
25269,11,13,124779,127226,0.09,0.10
25279,4,3,12179,12200,0.33,0.25
25281,1,0,7227,7323,0.14,0.00
25286,6,12,71172,72566,0.08,0.17
25288,0,0,5473,5519,0.00,0.00
25290,11,23,126691,129301,0.09,0.18
25293,0,0,5765,5748,0.00,0.00
25295,0,1,13312,13678,0.00,0.07
25297,2,0,10875,10934,0.18,0.00
25299,0,0,3952,3966,0.00,0.00
25307,32,25,103175,103839,0.31,0.24
25312,1,1,8115,8314,0.12,0.12
25317,3,1,11424,11411,0.26,0.09
25320,3,9,36334,37003,0.08,0.24
25322,1,5,14044,14283,0.07,0.35
25324,0,0,2579,2595,0.00,0.00
25326,1,0,6835,6857,0.15,0.00
25328,0,1,3629,3631,0.00,0.28
25335,0,3,4880,4902,0.00,0.61
25339,0,0,3892,3963,0.00,0.00
25368,0,2,2689,2688,0.00,0.74
25372,0,0,8535,8566,0.00,0.00
25377,2,4,26449,26810,0.08,0.15
25386,7,3,29997,30441,0.23,0.10
25394,1,0,10472,10553,0.10,0.00
25398,0,1,7015,7019,0.00,0.14
25402,4,2,13953,14052,0.29,0.14
25407,1,1,10118,10169,0.10,0.10
25426,0,2,6466,6414,0.00,0.31
25430,7,7,73086,74600,0.10,0.09
25436,1,0,4676,4685,0.21,0.00
25438,6,2,10024,10058,0.60,0.20
25473,13,13,76652,78658,0.17,0.17
25486,0,1,12832,13050,0.00,0.08
25488,0,0,17042,17489,0.00,0.00
25489,1,0,6299,6427,0.16,0.00
25491,5,5,7888,7938,0.63,0.63
25506,2,0,4030,4039,0.50,0.00
25513,2,4,26600,26786,0.08,0.15
25518,0,0,4754,4669,0.00,0.00
25524,1,3,5595,5615,0.18,0.53
25530,3,0,7639,7669,0.39,0.00
25535,4,2,11870,11979,0.34,0.17
25572,4,4,17729,18040,0.23,0.22
25580,0,2,2960,2975,0.00,0.67
25592,1,0,4721,4725,0.21,0.00
25594,1,2,6974,7031,0.14,0.28
25596,1,1,8174,8171,0.12,0.12
25599,1,2,7813,7813,0.13,0.26
25612,3,2,9044,9169,0.33,0.22
25645,0,5,12883,12949,0.00,0.39
25649,0,1,10564,10596,0.00,0.09
25653,1,0,5329,5335,0.19,0.00
25658,1,0,9170,9312,0.11,0.00
25662,1,1,9687,9679,0.10,0.10
25718,0,3,10543,10590,0.00,0.28
25736,0,1,12576,13023,0.00,0.08
25740,2,8,36357,37030,0.06,0.22
25743,2,4,21840,21887,0.09,0.18
25745,1,0,12417,12635,0.08,0.00
25754,135,221,477918,488995,0.28,0.45
25758,1,3,25053,25611,0.04,0.12
25769,0,0,15174,15487,0.00,0.00
25772,1,1,16334,16658,0.06,0.06
25777,0,0,5000,5011,0.00,0.00
25779,0,0,11466,11738,0.00,0.00
