# t5 Hom   t6 Hom   t7 Hom    t5 Central   t6 Central t7 Central
0.263794414213  0.289392605634  0.2279429417410.0965809058899  0.0663512323944  0.0149047695262
0.266127822181  0.2891  0.229890.0965809058899  0.06652  0.01584
0.309154387123  0.309669290079  0.2318169545090.0965809058899  0.06652  0.01585
0.357014937319  0.360749682465  0.2547352841170.0965709026889  0.06652  0.01584
0.370895589604  0.39375725087  0.2813637636520.0965709026889  0.06652  0.01586
