# HYG-Database modificada para el curso Herramientas Computacionales en UniAndes
# + Info en http://www.astronexus.com/hyg

# BEGIN of field descriptions
# id: The database primary key.
# hip: The star's ID in the Hipparcos catalog, if known.
# hd: The star's ID in the Henry Draper catalog, if known.
# hr: The star's ID in the Harvard Revised catalog, which is the same as its number in the Yale Bright Star Catalog.
# gl: The star's ID in the third edition of the Gliese Catalog of Nearby Stars.
# bf: The Bayer / Flamsteed designation, primarily from the Fifth Edition of the Yale Bright Star Catalog. This is a combination of the two designations. The Flamsteed number, if present, is given first; then a three-letter abbreviation for the Bayer Greek letter; the Bayer superscript number, if present; and finally, the three-letter constellation abbreviation. Thus Alpha Andromedae has the field value "21Alp And", and Kappa1 Sculptoris (no Flamsteed number) has "Kap1Scl".
# ra, dec: The star's right ascension and declination, for epoch and equinox 2000.0.
# proper: A common name for the star, such as "Barnard's Star" or "Sirius". I have taken these names primarily from the Hipparcos project's web site, which lists representative names for the 150 brightest stars and many of the 150 closest stars. I have added a few names to this list. Most of the additions are designations from catalogs mostly now forgotten (e.g., Lalande, Groombridge, and Gould ["G."]) except for certain nearby stars which are still best known by these designations.
# dist: The star's distance in light years. A value >= 32620000 indicates missing or dubious (e.g., negative) parallax data in Hipparcos.
# pmra, pmdec: The star's proper motion in right ascension and declination, in milliarcseconds per year.
# rv: The star's radial velocity in km/sec, where known.
# mag: The star's apparent visual magnitude.
# absmag: The star's absolute visual magnitude (its apparent magnitude from a distance of 10 parsecs).
# spect: The star's spectral type, if known.
# ci: The star's color index (blue magnitude - visual magnitude), where known.
# x,y,z: The Cartesian coordinates of the star, in a system based on the equatorial coordinates as seen from Earth. +X is in the direction of the vernal equinox (at epoch 2000), +Z towards the north celestial pole, and +Y in the direction of R.A. 6 hours, declination 0 degrees.
# vx,vy,vz: The Cartesian velocity components of the star, in the same coordinate system described immediately above. They are determined from the proper motion and the radial velocity (when known). The velocity unit is parsecs per year; these are small values (around 1 millionth of a parsec per year), but they enormously simplify calculations using parsecs as base units for celestial mapping.
# rarad, decrad, pmrarad, prdecrad: The positions in radians, and proper motions in radians per year.
# bayer: The Bayer designation as a distinct value
# flam: The Flamsteed number as a distinct value
# con: The standard constellation abbreviation
# comp, comp_primary, base: Identifies a star in a multiple star system. comp = ID of companion star, comp_primary = ID of primary star for this component, and base = catalog ID or name for this multi-star system. Currently only used for Gliese stars.
# lum: Star's luminosity as a multiple of Solar luminosity.
# var: Star's standard variable star designation, when known.
# var_min, var_max: Star's approximate magnitude range, for variables. This value is based on the Hp magnitudes for the range in the original Hipparcos catalog, adjusted to the V magnitude scale to match the "mag" field.
# END of field descriptions

id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
8255,8270,,,,,,1.775645,-29.595470,310.963,-94.12,-236.73,0.0,10.130,5.234,G2,0.600,74.095525,37.160328,-47.080381,-0.00002880,-0.00006310,-0.00009513,0.4648628253169338,-0.5165383973699688,-0.0000004563066361388889,-0.000001147699425,,,,1,8255,,0.7021016602403143,,10.186,10.086
8596,8613,,,,,,1.851917,-29.708239,2219.05,8.23,-25.38,0.0,10.070,0.907,G2,1.190,522.763246,275.374202,-337.131676,-0.00004935,0.00000468,-0.00007270,0.4848308071264517,-0.51850658564998,0.00000003990016590972223,-0.000000123045712,,,,1,8596,,37.77461093882191,,,
10229,10252,,,,,,2.198164,-4.364290,501.846,59.13,-27.47,0.0,9.400,3.465,G2,0.650,128.692287,83.485850,-11.707326,-0.00002531,0.00003615,-0.00002043,0.5754780883653815,-0.0761712313102825,0.0000002866703293125,-0.000000133178318,,,,1,10229,,3.5809643710263597,,,
10500,10524,,,,,,2.260503,-3.404099,305.145,28.22,14.82,0.0,9.550,4.695,G2,0.610,77.499972,52.092644,-5.554519,-0.00000681,0.00001084,0.00000671,0.5917983721261807,-0.059412734317863744,0.00000013681442065277776,0.000000071849387,,,,1,10500,,1.1534532578210916,,,
15446,15484,,,,,,3.326508,-38.185051,418.205,14.10,-36.44,0.0,10.380,4.840,G2,,64.912530,77.079618,-79.256820,-0.00001572,-0.00000506,-0.00001780,0.8708776451388784,-0.6664548588284187,0.00000006835872895833333,-0.000000176666105,,,,1,15446,,1.0092528860766843,,10.447,10.337
15553,15592,,,,,,3.346936,-4.324393,586.691,-12.39,-8.29,0.0,9.590,3.315,G2,0.450,114.790150,137.795202,-13.561736,0.00000795,-0.00000733,-0.00000721,0.8762259044013686,-0.07547489567172251,-0.00000006006841502083333,-0.000000040191054,,,,1,15553,,4.111497211045221,,,
23123,23177,270920,,,,,4.985850,-65.667699,326200,0.25,1.15,0.0,9.980,-10.020,G2,0.898,10811.435509,39759.080948,-91117.113345,0.00001634,0.00052197,0.00022970,1.3052923766052993,-1.1461175512156263,0.0000000012120342013888889,0.000000005575357,,,,1,23123,,887156.0120379617,,10.164,9.844
24014,24071,,,,,,5.171889,-37.791598,1169.18,14.15,-18.46,0.0,10.070,2.298,G2,0.590,60.926577,276.611471,-219.638388,-0.00002824,-0.00001391,-0.00002535,1.3539974172599383,-0.6595878060952938,0.00000006860113579861112,-0.000000089496605,,,,1,24014,,10.490592077764447,,,
24033,24091,,,,,,5.175752,-37.790335,400.245,13.53,-10.60,0.0,9.450,4.006,G2,0.600,20.761661,94.715444,-75.186973,-0.00000869,-0.00000205,-0.00000498,1.355008710958796,-0.6595657706646875,0.00000006559529097916667,-0.00000005139025,,,,1,24033,,2.1757049509257937,,,
24047,24105,,,,,,5.177841,49.687610,326200,-3.74,-2.11,0.0,9.410,-10.590,G2,0.990,13817.834382,63202.620258,76252.844180,0.00193780,0.00037473,-0.00066175,1.355555569344723,0.86721238549128,-0.00000001813203165277778,-0.000000010229568,,,Aur,1,24047,,1499684.835502374,BK,9.792,9.142
