exam,id,sec,pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,total_8,total_5
2,7,6,0,0,0,1,1,0,0,0,2,1.25
2,8,6,0,1,0,1,1,0,0,0,3,1.875
2,9,6,0,0,1,1,1,1,0,1,5,3.125
2,10,6,0,0,1,1,1,0,0,0,3,1.875
2,11,6,0,0,1,1,1,0,1,0,4,2.5
2,12,6,0,1,1,1,0,1,0,0,4,2.5
2,13,6,0,0,1,1,0,0,1,0,3,1.875
2,14,6,0,0,1,1,1,1,1,0,5,3.125
2,15,6,0,1,1,1,0,0,0,0,3,1.875
2,16,6,0,0,1,1,1,0,0,0,3,1.875
